durablefishingrod;Durable Fishing Rod
number2;Two
number3;Three
number4;Four
number5;Five
number6;Six
number7;Seven
number8;Eight
number9;Nine
outpostairlock;Small Airlock Door
outpostairlocklarge;Large Airlock Door
outpostrailairlock;Rail Airlock Door
outpostbarstool;Urban Bar Stool
outpostbed;Basic Metal Bed
outpostbutton;Wall Mounted Button
outpostcargocrate;Metal Cargo Crate
outpostcargocrateshort;Short Metal Cargo Crate
outpostceilinglight;Metal Light Fixture
outpostchair;Padded Metal Chair (1)
elderoutpostchair1;Padded Metal Chair (2)
outpostconsole;Free Standing Console
outpostcookingtable;Chic Cooking Table
outpostcrane;Large Mechanical Crane
outpostdesk;Basic Metal Desk
outpostfridge;Chic Fridge
outpostgenerator;Power Generator
outposthatchlarge;Large Airlock Hatch
outpostrailhatch;Rail Airlock Hatch
outpostkeypad;Wall Mounted Keypad
outpostlamp;LED Wall Light
outpostlight;Simple Wall Light
outpostlocker;Basic Metal Locker
outpostmicrowave;Microwave Oven
outpostmonitor;Wall Mounted Monitor
outpostpc;Desktop PC
outpostpublicchair;Public Chair
outpostradardish;Large Radar Dish
outpostsecurityconsole;Standing Security Console
outpostservicepanel;Service Panel
outpostshippingcontainer;Large Shipping Container
outpostslidingdoor;Sleek Sliding Door
outpostsmallmonitor;Small Mounted Monitor
outpoststandingdesk;Standing Desk
outposttable;Basic Metal Table
outposttank;Large Metal Tank
outpostterminal;Basic Terminal
penguinbarbottom;Penguin Bar
penguinbartop;Penguin Bar Top (1)
penguinbartop2;Penguin Bar Top (2)
penguinbarlamp;Penguin Bar Lamp
penguinbarsign;Penguin Bar Sign
penguinbay;Penguin Bay
penguinbayclosed;Closed Penguin Bay
penguinweaponshop;Biggy's Reputable Weaponry
penguinweaponshopclosed;Closed Biggy's Reputable Weapons
plasticplant;Plastic Plant
repairo;Rob Repairo
roofvent;Roof Vent
shipyardcaptain;Shipyard Captain
shipyardjunk;Shipyard Junk
shipyardwelding;Welding Penguin
signdispenser;EASEL Cabinet
signstore;EASEL
signstoreclosed;Closed Sign Store
techlab;Tech Lab
techlabconsole1;Tech Console Dispenser (1)
techlabconsole1offline;Tech Console Dispenser (2)
techlabconsole2;Equip Tech Console
techlabhologram;Tech Lab Interface
techlabscientist;Tech Lab Scientist
techlabscientistshop;Tech Lab Shop
teddybearplush;Teddy Bear
terramart;Terramart
terramartclosed;Closed Terra Mart
treasuredtrophies;Treasured Trophies
ursaminer;Ursa Miner (1)
ursaminerclosed;Ursa Miner (2)
stationbackground2bend;2 bend piece background
stationbackgroundbendbot;Bend bottom piece background
stationbackgroundbendtop;Bend top piece background
stationbackgroundcore;Core piece background
stationbackgroundcross;Cross piece background
stationbackgroundhugecorediagbot;Huge Core Diagonal Bottom Piece Background
stationbackgroundhugecorediagtop;Huge Core Diagonal Top Piece Background
stationbackgroundmechbay;Mech bay piece background
stationbackgroundpassage;Passage piece background
stationbackgroundpassageglass;Glass passage piece background
stationbackgroundpassageglassleft;Glass passage left piece background
stationbackgroundpassageglassright;Glass passage right piece background
stationbackgroundshaft;Shaft piece background
stationbackgroundshaftglass;Glass shaft piece background
stationbackgroundshaftglassbottom;Glass shaft bottom piece background
stationbackgroundshaftglasstop;Glass shaft top piece background
stationbackgroundstart;Start piece background
stationbackgroundtjunchorizontalbottom;T Junction Horizontal Bottom Piece Background
stationbackgroundtjunchorizontaltop;T Junction Horizontal Top Piece Background
stationbackgroundtjuncvertical;T Junction Vertical Piece Background
expansionslot;Expansion Slot
expansionslothorizontal;Horizontal Expansion Slot
playerstationconsole;Space Station Console
00back;Protectorate Background (1)
00bback;Protectorate Background (2)
01back;Protectorate Background (3)
01bback;Protectorate Background (4)
02back;Protectorate Background (5)
02bback;Protectorate Background (6)
03back;Protectorate Background (7)
03bback;Protectorate Background (8)
04back;Protectorate Background (9)
04bback;Protectorate Background (10)
05back;Protectorate Background (11)
05bback;Protectorate Background (12)
06back;Protectorate Background (13)
06bback;Protectorate Background (14)
07bback;Protectorate Background (15)
08back;Protectorate Background (16)
08bback;Protectorate Background (17)
09back;Protectorate Background (18)
09bback;Protectorate Background (19)
10back;Protectorate Background (20)
10bback;Protectorate Background (21)
11back;Protectorate Background (22)
11bback;Protectorate Background (23)
12back;Protectorate Background (24)
12bback;Protectorate Background (25)
13back;Protectorate Background (26)
13bback;Protectorate Background (27)
14back;Protectorate Background (28)
14bback;Protectorate Background (29)
15back;Protectorate Background (30)
15bback;Protectorate Background (31)
07back;Protectorate Stage Background
protectorateamp;Protectorate Amp
protectoratebench;Protectorate Bench
protectoratebookcabinet;Protectorate Book Cabinet
protectoratebooks;Protectorate Books (1)
protectoratebooks2;Protectorate Books (2)
protectoratebrokendisplay1;Protectorate Broken Display (1)
protectoratebrokendisplay2;Protectorate Broken Display (2)
protectoratebrokenlight;Broken Fluorescent Light (1)
protectoratelight;Broken Fluorescent Light (2)
protectoratebrokenportrait1;Broken Protectorate Picture Frame
protectoratebrokenportrait2;Grand Protector Portrait (1)
protectoratebrokenportrait4;Grand Protector Portrait (2)
protectoratebrokenportrait5;Grand Protector Portrait (3)
protectorateportrait1;Grand Protector Portrait (4)
protectorateportrait2;Grand Protector Portrait (5)
protectorateportrait3;Grand Protector Portrait (6)
protectorateportrait4;Grand Protector Portrait (7)
protectorateportrait5;Grand Protector Portrait (8)
protectoratebrokenportrait3;Torn Protectorate Picture Frame
protectoratebrokenvending;Broken Vending Machine
protectoratecactiflowerpot;Protectorate Cactus Pot
protectoratecape;Protectorate Banner Rag
protectorateclock;Protectorate Clock
protectoratedoor;Protectorate Academy Door
protectoratedormbed;Protectorate Bunk Bed.
protectoratedormmirror;Protectorate Bathroom Mirror
protectoratedormtoilet;Protectorate Dorm Toilet
protectoratedormtoiletroll;Protectorate Toilet Roll Holder.
protectorateextinguisher;Protectorate Fire Extinguisher
protectoratefallenrope;Protectorate Ruined Ribbon
protectoratefbannertorn1;Torn Protectorate Wall Banner (1)
protectoratefbannertorn2;Torn Protectorate Wall Banner (2)
protectoratefigures;Protectorate Poptop Toy
protectorategamesconsole;Protectorate Games Console
protectorategardenbench;Protectorate Garden Bench
protectorategardentree;Protectorate Garden Bushes
protectorateguidelines;Protectorate Old Book
protectorateguitar;Protectorate Red Guitar
protectoratehallcurtain;Protectorate Stage Curtain (1)
protectoratehallcurtain2;Protectorate Stage Curtain (2)
protectoratehalllight;Hall Spotlight
protectoratehologlobe;Protectorate Hologlobe
protectoratehulagirl;Protectorate Hula Girl
protectorateincap1;Protectorate Body (1)
protectorateincap2;Protectorate Body (2)
protectorateincap3;Protectorate Body (3)
protectorateincap4;Protectorate Body (4)
protectorateincap5;Protectorate Body (5)
protectorateincap6;Protectorate Body (6)
protectorateinfobooth;Info Booth
protectoratelavalamp;Protectorate Lava Lamp
protectoratelightrays;protractorate light rays
protectoratelobbybin;Protectorate Bin
protectoratelobbychair;Protectorate Lobby Chair
protectoratelobbylockers;Locked Protectorate Lockers
protectoratelobbylockers2;My Locker
protectoratelobbyplant;Protectorate Lobby Plant.
protectoratelobbyracebanners;Protectorate Race Banners
protectoratelobbytable;Protectorate Lobby Table
protectoratelobbytv;Lobby TV
protectoratelobbyvending;Protectorate Vending Machine
protectoratemanipulator;Protectorate Matter Manipulator
protectorateposter1;Poster (1)
protectorateposter2;Poster (2)
protectorateradio;Protectorate Radio
protectoraterobe;Protectorate Robe Prop
protectorateroofdetail01;Protectorate Roof Top Vent (1)
protectorateroofdetail02;Protectorate Roof Top Vent (2)
protectorateroofdetail03;Protectorate Roof Top Vent (3)
protectorateroofdetail04;Protectorate Roof Top Vent (4)
protectorateroofdetail05;Protectorate Roof Top Vent (5)
protectoraterooftopprop1;Protectorate Roof Top Vent (6)
protectoraterooftopprop2;Protectorate Roof Top Vent (7)
protectoraterooftopprop3;Protectorate Roof Top Vent (8)
protectoraterooftopprop4;Protectorate Roof Top Vent (9)
protectoraterope;Protectorate Ribbon
protectoraterubble;Impassable Rubble
protectoratesecuritystation;Protectorate Security Station
protectorateship;Protectorate Ship
protectoratestorage1;Status Pod Storage Unit (1)
protectoratestorage2;Status Pod Storage Unit (2)
protectoratestorage3;Pod Chest Storage Unit
protectoratestorage4;Capsule Storage Unit (1)
protectoratestorage5;Capsule Storage Unit (2)
protectoratestorage6;Capsule Storage Unit (3)
protectoratestorageempty;Empty Storage Unit
protectoratetentacle;Protectorate Tentacle (1)
protectoratetentacle2;Protectorate Tentacle (2)
protectoratetoolbox;Red Toolbox
protectoratewallbanner;Protectorate Wall Banner (1)
protectoratewindbanner;Protectorate Wall Banner (2)
protectoratewindbanner2;Protectorate Wall Banner (3)
protectoratewindbanner3;Protectorate Wall Banner (4)
protectoratewastebin;Protectorate Waste Bin
protectoratewaterdispenser;Protectorate Water Dispenser
protectoratewatertank;Protectorate Water Tank
protectorategardenwindchimes;Protectorate Garden Wind Chimes
railbumper;Rail Bumper
railsensor;Rail Sensor
railstop;Rail Stop
railswitch;Rail Switch
railtramstop;Rail Tram Stop
apexcaptainschair;Apex Captain's Chair
apexfuelhatch;FTL Fuel Hatch (1)
avianfuelhatch;FTL Fuel Hatch (2)
floranfuelhatch;FTL Fuel Hatch (3)
glitchfuelhatch;FTL Fuel Hatch (4)
humanfuelhatch;FTL Fuel Hatch (5)
hylotlfuelhatch;FTL Fuel Hatch (6)
novakidfuelhatch;FTL Fuel Hatch (7)
apexshipdoor;Apex Ship Door (1)
apexshipdoorBroken;Apex Ship Door (2)
apexshiphatch;Apex Ship Hatch
apexshiplightBroken;Broken Ship Light
apexshiplocker;Shiplocker (1)
apexshiplockerTier0;Shiplocker (2)
avianshiplocker;Shiplocker (3)
avianshiplockerTier0;Shiplocker (4)
floranshiplocker;Shiplocker (5)
floranshiplockerTier0;Shiplocker (6)
glitchshiplocker;Shiplocker (7)
glitchshiplockerTier0;Shiplocker (8)
hylotlshiplocker;Shiplocker (9)
hylotlshiplockerTier0;Shiplocker (10)
aviancaptainschair;Avian Captain's Chair
avianshipdoor;Avian Ship Door (1)
avianshipdoorBroken;Avian Ship Door (2)
avianshiphatch;Avian Ship Hatch
aviantechstation;S.A.I.L (1)
aviantechstationTier0;S.A.I.L (2)
florantechstation;S.A.I.L (3)
florantechstationTier0;S.A.I.L (4)
glitchtechstation;S.A.I.L (5)
glitchtechstationTier0;S.A.I.L (6)
humantechstation;S.A.I.L (7)
humantechstationTier0;S.A.I.L (8)
hylotltechstation;S.A.I.L (9)
hylotltechstationTier0;S.A.I.L (10)
novakidtechstation;S.A.I.L (11)
novakidtechstationTier0;S.A.I.L (12)
techstation;S.A.I.L (13)
techstationTier0;S.A.I.L (14)
avianteleporter;Teleporter (1)
avianteleporterTier0;Teleporter (2)
floranteleporter;Teleporter (3)
floranteleporterTier0;Teleporter (4)
glitchteleporter;Teleporter (5)
glitchteleporterTier0;Teleporter (6)
humanteleporter;Teleporter (7)
humanteleporterTier0;Teleporter (8)
hylotlteleporter;Teleporter (9)
hylotlteleporterTier0;Teleporter (10)
novakidteleporter;Teleporter (11)
novakidteleporterTier0;Teleporter (12)
teleporter;Teleporter (13)
teleporterTier0;Teleporter (14)
bigboosterflame;Booster Flame (1)
bigboosterflameavian;Booster Flame (2)
bigboosterflameglitch;Booster Flame (3)
bigboosterflamehuman;Booster Flame (4)
boosterflame;Booster Flame (5)
boosterflameapex;Booster Flame (6)
boosterflameapex2;Booster Flame (7)
boosterflameapex3;Booster Flame (8)
boosterflamehuman2;Booster Flame (9)
boosterflamehuman3;Booster Flame (10)
boosterflamenovakid;Booster Flame (11)
boosterflamehuman;Booster Flame (12)
smallboosterflameglitch;Booster Flame (13)
smallboosterflamehuman2;Booster Flame (14)
encounterbigboosterflame;Damaging Booster Flame (1)
encounterboosterflame;Damaging Booster Flame (2)
encounterboosterflamehuman;Damaging Booster Flame (3)
encountersmallboosterflame;Damaging Small Booster Flame (1)
encountersmallboosterflame2;Damaging Small Booster Flame (2)
smallboosterflame;Small Booster Flame
brokenapexfuelhatch;Broken FTL Fuel Hatch (1)
brokenavianfuelhatch;Broken FTL Fuel Hatch (2)
brokenfloranfuelhatch;Broken FTL Fuel Hatch (3)
brokenglitchfuelhatch;Broken FTL Fuel Hatch (4)
brokenhumanfuelhatch;Broken FTL Fuel Hatch (5)
brokenhylotlfuelhatch;Broken FTL Fuel Hatch (6)
brokennovakidfuelhatch;Broken FTL Fuel Hatch (7)
florancaptainschair;Floran Captain's Chair
floranshipdoor;Floran Ship Door (1)
floranshipdoorBroken;Floran Ship Door (2)
floranshiphatch;Floran Ship Hatch
glitchcaptainschair;Glitch Captain's Chair
glitchshipdoor;Glitch Ship Door (1)
glitchshipdoorBroken;Glitch Ship Door (2)
glitchshiphatch;Glitch Ship Hatch
humancaptainschair;Human Captain's Chair
humanshipdoor;Human Ship Door (1)
humanshipdoorBroken;Human Ship Door (2)
humanshiphatch;Human Ship Hatch
humanshiplocker;Ship Locker (1)
humanshiplockerTier0;Ship Locker (2)
novakidshiplocker;Ship Locker (3)
novakidshiplockerTier0;Ship Locker (4)
hylotlcaptainschair;Hylotl Captain's Chair
hylotlshipdoor;Hylotl Ship Door (1)
hylotlshipdoorBroken;Hylotl Ship Door (2)
hylotlshiphatch;Hylotl Ship Hatch
novakidcaptainschair;Novakid Captain's Chair
novakidshipdoor;Novakid Ship Door
novakidshiphatch;Novakid Ship Hatch
novakidshipdoorBroken;Broken Ship Door
researchstation;Research Station
astrocabinet;Astro Cabinet
astroceilingmonitor;Astro Ceiling Monitor
astrochair;Astro Chair
astroconsole;Astro Console
astrocrate;Astro Crate
astrodoor;Astro Door
astrolight;Astro Light
astromonitor;Astro Monitor
astroserver;Astro Server
astrostoragelocker;Astro Storage Locker
astrotable;Astro Table
astrovent;Astro Vent
astrowallpanel;Astro Wall Panel
cultistdoor;Cultist Door
dockingfield;Docking Field
dockingfieldsmall;Docking Field (Small)
industrialbed;Industrial Bed
industrialcanister;Industrial Canister
industrialchair;Industrial Chair
industrialcomputer;Industrial Computer
industrialcrate;Industrial Crate
industrialdisplay;Industrial Display
industrialdoor;Industrial Door
industriallight;Industrial Light
industrialstoragelocker;Industrial Storage Locker
industrialtable;Industrial Table
lunarlander;Lunar Lander
shipgreeble1;Ship Greeble 1
shipgreeble2;Ship Greeble 2
shipgreeble3;Ship Greeble 3
shipgreeble4;Ship Greeble 4
solarpanel;Solar Panel (1)
isn_solarpanel;Solar Panel (2)
spacebarbottom;Space Bar
spaceslideshow;Space Slideshow
stationbench;Station Bench
stationceilingvent;Station Ceiling Vent
stationchair;Station Chair
stationconsole;Station Console
stationcrate;Station Crate
stationdisplay;Station Display
stationdoor;Station Door
stationdoorlarge;Station Large Door
stationhatch;Station Hatch
stationrailhatch;Station Rail Hatch
stationhologram;Station Hologram
stationlighth;Wide Station Light
stationlightv;Tall Station Light
stationmedscanner;Station Medical Scanner
stationpylon;Station Pylon
stationtable;Station Table
stationtradesignelectronics;Electronics Station Sign
stationtradesignfood;Food Station Sign
stationtradesignmedic;Medic Station Sign
stationtradesignweapons;Weapons Station Sign
stationvendingmachine;Station Vending Machine
stationwallpanel;Station Wall Panel
telescope;Astronomy Telescope
wiredtarget;Wired Target
invisiblemonsterspawner;Invisible Monster Spawner
monsterspawner;Monster Spawner
colonydeed;Colony Deed
pettether;Pet Tether
spawnerapex;Apex Spawner
spawneravian;Avian Spawner
spawnerchef;Chef Spawner
spawnerfloran;Floran Spawner
spawnerglitch;Glitch Spawner
spawnerguard;Guard Spawner
spawnerhuman;Human Spawner
spawnerhylotl;Hylotl Spawner
spawnerwizard;Wizard Spawner
spawnerstation;Employer's Station
arkdestinationteleporter;Broken Ark Teleporter
arkteleporter;Ark Teleporter
blackteleporter;Executive Teleporter
brassteleporter;Brass Teleporter
exitteleporter;Exit Teleporter
futureteleporter;Futuristic Teleporter
remoteteleporter;Outpost Teleporter (1)
returnoutpostteleporter;Outpost Teleporter (2)
scienceteleporter;Scientific Teleporter
stoneteleporter;Stone Teleporter
tombteleporter;Tomb Teleporter
woodenteleporter;Wooden Teleporter
terraformeralien;Mutant Terraformer
terraformerdesert;Sandy Terraformer
terraformerforest;Wooded Terraformer
terraformergarden;Lush Terraformer
terraformerjungle;Jungle Terraformer
terraformermidnight;Dark Terraformer
terraformersavannah;Prairie Terraformer
terraformerscorched;Scorched Terraformer
terraformersnow;Snowy Terraformer
terraformertundra;Icy Terraformer
terraformervolcanic;Volcanic Terraformer
earthmodel;Earth Model
jupitermodel;Jupiter Model
liftoffseat;Liftoff Seat
marsmodel;Mars Model
mercurymodel;Mercury Model
neptunemodel;Neptune Model
plutomodel;Pluto Model
satellite;Satellite Model
saturnmodel;Saturn Model
spaceshuttlebed;Space Shuttle Bed
sunmodel;Sol Model
uranusmodel;Uranus Model
venusmodel;Venus Model
cabinbunkbed;Cabin Bunk Bed
cabinchair;Cabin Chair
cabinlamp;Cabin Lamp
cabinornament;Decorative Antlers
cabinstooltable;Cabin Stool Table
cabinstove;Cabin Stove
cabintable;Cabin Table
doombed;Doom Bed
doomchair;Doom Chair
doomdoor;Doom Door
doomlight;Doom Light
doomswitch;Doom Console
doomtable;Doom Table
executivebed;Executive Bed
executivechair;Executive Chair
executivedoor;Executive Door
executivelight;Executive Light
executiveswitch;Executive Console
executivetable;Executive Table
applebasket;Apple Basket
baguettebox;Box Of Bread
kitchencabinet1;Kitchen Cabinet
kitchencabinet2;Tall Kitchen Cabinet
kitchenceilingcabinet1;Kitchen Wall Cabinet
kitchenceilingcabinet2;Small Kitchen Wall Cabinet
kitchenshelf;Kitchen Shelf
kitchenstovetop;Kitchen Stove Top
kitchentable;Kitchen Table
geometricbed;Geometric Bed
geometricchair;Geometric Chair
geometricdoor;Geometric Door
geometriclight;Geometric Light
geometricswitch;Geometric Console
geometrictable;Geometric Table
gothicbed;Gothic Bed
gothicbookcase;Gothic Bookcase
gothicchair;Gothic Chair
gothiccouch;Gothic Couch
gothicdoor;Gothic Door
gothiclight;Gothic Candle
hulagirl;Hula Girl
islandcabinet;Island Cabinet
islandchair;Island Chair
islandhammock;Island Hammock
islandlamp;Island Lamp
islandtable;Island Table
opulentbed;Opulent Bed
opulentchair;Opulent Chair
opulentdoor;Opulent Door
opulentlight;Opulent Light
opulentswitch;Opulent Console
opulenttable;Opulent Table
lamppost1;Basic Lamp Post
lamppost2;Triple Lamp Post
lamppost3;Double Lamp Post
outdoorbench;Outdoor Bench
outdoorchair;Outdoor Chair
outdoorfountain;Outdoor Fountain
outdoorstool;Outdoor Stool
pastelbed;Pastel Bed
pastelbunnyplush;Pastel Bunny Plushie
pastelcabinet;Pastel Cabinet
pastelchair;Pastel Chair
pastellight;Pastel Light
pastelstool;Pastel Stool
pasteltable;Pastel Table
pastelwallclock;Pastel Wall Clock
pastelwardrobe;Pastel Wardrobe
retroscifibed;Retro Pod
retroscificabinet;Retro Cabinet
retroscifichair;Retro Chair
retroscifidresser;Retro Dresser
retroscifilight;Retro Spotlight
retroscifitable;Retro Table
retroscifitv;Retro Television
coralmirror;Coral Mirror
seabed;Seashell Bed
seachair;Seashell Armchair
sealamp;Sea Lamp
seaweedpot;Seaweed Pot
serenebed;Serene Bed
serenechair;Serene Chair
serenedoor;Serene Door
serenelight;Serene Light
sereneswitch;Serene Console
serenetable;Serene Table
spookybed;Spooky Bed
spookycandles;Spooky Candles
spookycauldron;Spooky Cauldron
spookyclock;Spooky Clock
spookypumpkinhead;Spooky Pumpkin Head
spookytombchair;Spooky Tomb Chair
steampunkarmchair;Steampunk Armchair
steampunkbed;Steampunk Bed
steampunkdesk;Steampunk Desk
steampunkglobe;Steampunk Globe
steampunklamp;Steampunk Lamp
steampunkshelf;Steampunk Shelf
wavebed;Wave Bed
wavechair;Wave Chair
wavedoor;Wave Door
wavelight;Wave Lamp
waveswitch;Wave Console
wavetable;Wave Table
tier1bed;Iron Bed
tier1chair;Iron Chair
tier1door;Iron Door
tier1light;Iron Lantern
tier1spotlight;Iron Spotlight
tier1switch;Iron Lever
tier1table;Iron Table
tier2bed;Tungsten Bed
tier2chair;Tungsten Chair
tier2door;Tungsten Door
tier2light;Tungsten Light
tier2switch;Tungsten Lever
tier2table;Tungsten Table
tier3bed;Titanium Bed
tier3chair;Titanium Chair
tier3door;Titanium Door
tier3light;Titanium Light
tier3switch;Titanium Console
tier3table;Titanium Table
tier4bed;Durasteel Bed
tier4chair;Durasteel Chair
tier4door;Durasteel Door
tier4light;Durasteel Light
tier4switch;Durasteel Console
tier4table;Durasteel Table
ancientbouldertrap;Ancient Boulder Trap
ancientcrystaltrap;Ancient Crystal Trap
ancientflametrap;Ancient Flame Trap
ancienticetrap;Ancient Ice Trap
arenaflametrap;Arena Flame Trap
bouldertrap;Temple Boulder Trap
crystaltrap;Carved Crystal Trap
flametrap;Avian Flame Trap
floranbouldertrap;Floran Boulder Trap
freezetrap;Cryogenic Blaster
wallb;WALL-B
techconsole;Tech Console
alarm;Alarm
bigredbutton;Big Red Button
drain;Drain
jumppad;Jump Pad
invisiblesound;Invisible Sound Source
landmine;Military Land Mine (1)
poisonmine;Military Land Mine (2)
lightsensor;Light Sensor
and;AND Switch
bulb;Bulb
countdowntimer;Countdown Timer
delay;Delay Gate
dlatch;Latch
invisibleand;Invisible AND Switch
invisiblecountdowntimer;Invisible Countdown Timer
invisibledelay;Invisible Delay Gate
invisibledlatch;Invisible Latch
invisiblenot;Invisible NOT Switch
invisibleor;Invisible OR Switch
invisibletimer;Invisible Timer (1 Sec)
invisiblexor;Invisible XOR Switch
not;NOT Switch
or;OR Switch
timer;Timer (0.5 Sec)
timer1s;Timer (1 Sec)
timer2s;Timer (2 Sec)
timer3s;Timer (3 Sec)
timer4s;Timer (4 Sec)
timer5s;Timer (5 Sec)
xor;XOR Switch
movingelevatorlong;Long Elevator
movingelevatorshort;Short Elevator
invisiblepersistentswitch;Invisible Persistent Switch
persistentswitch;Persistent Switch
invisibleproximitysensor;Invisible Proximity Sensor
scanner;Proximity Scanner
secretdoor;Secret Door
secrettrapdoor;Secret Trapdoor
smallfloorbutton;Small Floor Button
invisiblewallswitch;Invisible Wall Switch
smallwallswitch;Small Wall Switch
smallwallswitchlit;Small Wall Switch (Light) (1)
elderwallswitch;Small Wall Switch (Light) (2)
standingturret;Defense Turret
tinywallbutton;Tiny Wall Button
tinywallswitch;Tiny Wall Switch
wreckbed;Wrecked Bed
wreckboiler;Wrecked Boiler
wreckchair;Wrecked Chair
wreckconsole1;Wrecked Console
wreckconsole2;Wrecked Computer
wreckconsole3;Wrecked Terminal
wreckcrate1;Wrecked Crate
wreckdoor;Wrecked Door
wreckfan;Wrecked Fan
wreckgenerator;Wrecked Generator
wrecklocker;Wrecked Locker
wreckpanel1;Wrecked Panel
wreckpanel2;Small Wrecked Panel
wreckscreen;Wrecked Monitor
wrecksmalltable;Small Wrecked Table
wrecksupport;Wrecked Support
wrecktable;Wrecked Table
wreckturbine2;Wrecked Turbine
wreckturbines;Wrecked Turbines
wrecktv;Wrecked Screen
wreckvat1;Wrecked Vat
wreckvendingmachine;Wrecked Vending Machine
wreckvent;Wrecked Vent
wreckwiresceiling;Wrecked Hanging Wires
aex;Augment Extractor
aerostatsail1;Canvas Sail (1)
aerostatsail2;Canvas Sail (2)
aerostatsail3;Canvas Sail (3)
aerostatsail4;Canvas Sail (4)
avalicushion1;Cushion
avalicushion2;Pillow
campdoor;Tent Door
avalihammock1;Hammock
avalihammock2;Hanging Storage
camplargeentry1;Decorative Entrance
camplargeentry2;Tent Entrance
camplargewall1;Decorative Wall Sheet
camplargewall2;Wall Sheet
campslope1;Decorative Topsheet
campslope2;Topsheet
campsmallentry1;Decorative Awning
campsmallentry2;Tent Awning
campsmallwall1;Decorative Sheet
campsmallwall2;Tent Sheet
avalichair1;Maglev Armchair
avalichair2;Avali Office Chair
avalichest1;Avali Chest
avalichest2;Avali Footlocker
avalicontainer1;Cargo Crate
avalicontainer2;Cargo Container
avalistoragelocker;Storage Locker
avalibottle1;Avali Bottle
avalicrystal1;Bonzai Crystal Garden
avalidreamcatcher1;Dreamcatcher
avaliemblem;Small Avali Emblem
avaliemblembig;Avali Emblem
avalidarkdoor;Interlocking Door
avalidarkverticaldoor;Avali Dark Vertical Hatch
avalitechdoor;Plated Door
avalitechverticaldoor;Avali Tech Vertical Hatch
avalihologram1;Hologram, Planet
avalihologram2;Hologram, Waveform
avalihologramsml1;Hologram, Text Window
avalihologramsml2;Hologram, Bars
avalihologramsml3;Hologram, Double Helix
avalihologramtiny1;Hologram, POI
avalihologramtiny2;Hologram, Alert
avalicuttingboard;Culinary Station
avalikitchencupboard;Hi-Tech Cupboard
avalikitchendrawers;Hi-Tech Drawers
avalikitchenfridge;Refrigeration Cabinet
avalikitchenstove;Avali Cooker
avalisample1;Empty Specimen Jar
avalisample2;Googley Specimen
avalisample3;Brain Specimen
avaliaerogellight;Avali Aerogel Light
avalilightblock;Light Block
avalilightpanel;Light Panel
avalisolidlightblock;Solid Light Block
avalistriplight;Inset Lighting
avaligundisplay1;Weapon Rack (1)
avaligundisplay2;Weapon Rack (2)
avaligundisplay3;Weapon Rack (3)
avaliweapondisplay1;Spear Rack (1)
avalitier10speardisplay;Spear Rack (2)
avalitier1speardisplay;Spear Rack (3)
avalitier2speardisplay;Spear Rack (4)
avalitier3speardisplay;Spear Rack (5)
avalitier4speardisplay;Spear Rack (6)
avalitier8speardisplay;Spear Rack (7)
avalitier5speardisplay;Spear Rack (8)
avalitier6speardisplay;Spear Rack (9)
avalitier7speardisplay;Spear Rack (10)
avalitier9speardisplay;Spear Rack (11)
AvaliBowDisplay01_tier1;Weapon Rack - CB1 Lancer
AvaliBowDisplay01_tier2;Weapon Rack - CB2 Lancer
AvaliBowDisplay01_tier3;Weapon Rack - CB3 Lancer
AvaliBowDisplay01_tier4;Weapon Rack - CB4 Lancer
avalitier10daggerdisplay;Claw Display (1)
avalitier1daggerdisplay;Claw Display (2)
avalitier2daggerdisplay;Claw Display (3)
avalitier3daggerdisplay;Claw Display (4)
avalitier4daggerdisplay;Claw Display (5)
avalitier5daggerdisplay;Claw Display (6)
avalitier6daggerdisplay;Claw Display (7)
avalitier8daggerdisplay;Claw Display (8)
avalitier7daggerdisplay;Claw Display (9)
avalitier9daggerdisplay;Claw Display (10)
avaligundisplay4;Pistol Display
avalitier10hammerdisplay;Hammer Rack (1)
avalitier1hammerdisplay;Hammer Rack (2)
avalitier2hammerdisplay;Hammer Rack (3)
avalitier3hammerdisplay;Hammer Rack (4)
avalitier4hammerdisplay;Hammer Rack (5)
avalitier8hammerdisplay;Hammer Rack (6)
avalitier5hammerdisplay;Hammer Rack (7)
avalitier6hammerdisplay;Hammer Rack (8)
avalitier7hammerdisplay;Hammer Rack (9)
avalitier9hammerdisplay;Hammer Rack (10)
avalitier10daggerhanging;Claw Hanging Display (1)
avalitier1daggerhanging;Claw Hanging Display (2)
avalitier2daggerhanging;Claw Hanging Display (3)
avalitier3daggerhanging;Claw Hanging Display (4)
avalitier4daggerhanging;Claw Hanging Display (5)
avalitier5daggerhanging;Claw Hanging Display (6)
avalitier6daggerhanging;Claw Hanging Display (7)
avalitier8daggerhanging;Claw Hanging Display (8)
avalitier7daggerhanging;Claw Hanging Display (9)
avalitier9daggerhanging;Claw Hanging Display (10)
avalitier1pilumdisplay;Pilum Display (1)
avalitier2pilumdisplay;Pilum Display (2)
avalitier3pilumdisplay;Pilum Display (3)
avalitier10broadswordhanging;Broadsword Hanging Display (1)
avalitier1broadswordhanging;Broadsword Hanging Display (2)
avalitier2broadswordhanging;Broadsword Hanging Display (3)
avalitier3broadswordhanging;Broadsword Hanging Display (4)
avalitier4broadswordhanging;Broadsword Hanging Display (5)
avalitier8broadswordhanging;Broadsword Hanging Display (6)
